"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"139";"2";"2133";"1504";"2015";"61914";"????";"酒店地下二层探测器";"男更衣室西烟感1";"X";"0000";"-";"LOG";"01:001:066:001";"0";"255"
"140";"2";"2013";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室西烟感2";"A";"0B68";"-";"LOG";"01:001:067:000";"0";"255"
"141";"2";"2135";"1504";"2013";"62063";"????";"酒店地下二层探测器";"男更衣室西烟感2";"X";"0000";"-";"LOG";"01:001:067:001";"0";"255"
"142";"2";"2009";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室西烟感4";"A";"0B64";"-";"LOG";"01:001:068:000";"0";"255"
"143";"2";"2139";"1504";"2009";"61915";"????";"酒店地下二层探测器";"男更衣室西烟感4";"X";"0000";"-";"LOG";"01:001:068:001";"0";"255"
"144";"2";"2014";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室西烟感3";"A";"0B69";"-";"LOG";"01:001:069:000";"0";"255"
"145";"2";"2134";"1504";"2014";"62304";"????";"酒店地下二层探测器";"男更衣室西烟感3";"X";"0000";"-";"LOG";"01:001:069:001";"0";"255"
"146";"2";"2016";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"花房东侧小走道烟感";"A";"0B6B";"-";"LOG";"01:001:070:000";"0";"255"
"147";"2";"2132";"1504";"2016";"61913";"????";"酒店地下二层探测器";"花房东侧小走道烟感";"X";"0000";"-";"LOG";"01:001:070:001";"0";"255"
"148";"2";"2017";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室东温感3";"A";"0B6C";"-";"LOG";"01:001:071:000";"0";"255"
"149";"2";"2131";"1504";"2017";"62287";"????";"酒店地下二层探测器";"男更衣室东温感3";"X";"0000";"-";"LOG";"01:001:071:001";"0";"255"
"150";"2";"2019";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室东烟感2";"A";"0B6E";"-";"LOG";"01:001:072:000";"0";"255"
"151";"2";"2129";"1504";"2019";"62061";"????";"酒店地下二层探测器";"男更衣室东烟感2";"X";"0000";"-";"LOG";"01:001:072:001";"0";"255"
"152";"2";"2018";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室东烟感1";"A";"0B6D";"-";"LOG";"01:001:073:000";"0";"255"
"153";"2";"2130";"1504";"2018";"61912";"????";"酒店地下二层探测器";"男更衣室东烟感1";"X";"0000";"-";"LOG";"01:001:073:001";"0";"255"
"154";"2";"2020";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站西烟温感1";"A";"0B6F";"-";"LOG";"01:001:074:000";"0";"255"
"155";"2";"2125";"1504";"2020";"62066";"????";"酒店地下二层探测器";"换热站西烟温感1";"X";"0000";"-";"LOG";"01:001:074:001";"0";"255"
"156";"2";"2022";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站东烟温感1";"A";"0B71";"-";"LOG";"01:001:075:000";"0";"255"
"157";"2";"2126";"1504";"2022";"62282";"????";"酒店地下二层探测器";"换热站东烟温感1";"X";"0000";"-";"LOG";"01:001:075:001";"0";"255"
"158";"2";"2025";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站东烟温感2";"A";"0B74";"-";"LOG";"01:001:076:000";"0";"255"
"159";"2";"2123";"1504";"2025";"62281";"????";"酒店地下二层探测器";"换热站东烟温感2";"X";"0000";"-";"LOG";"01:001:076:001";"0";"255"
"160";"2";"2021";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站西烟温感2";"A";"0B70";"-";"LOG";"01:001:077:000";"0";"255"
"161";"2";"2127";"1504";"2021";"61911";"????";"酒店地下二层探测器";"换热站西烟温感2";"X";"0000";"-";"LOG";"01:001:077:001";"0";"255"
"162";"2";"2023";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站西烟温感3";"A";"0B72";"-";"LOG";"01:001:078:000";"0";"255"
"163";"2";"2122";"1504";"2023";"62279";"????";"酒店地下二层探测器";"换热站西烟温感3";"X";"0000";"-";"LOG";"01:001:078:001";"0";"255"
"164";"2";"2024";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站东烟温感3";"A";"0B73";"-";"LOG";"01:001:079:000";"0";"255"
"165";"2";"2124";"1504";"2024";"61910";"????";"酒店地下二层探测器";"换热站东烟温感3";"X";"0000";"-";"LOG";"01:001:079:001";"0";"255"
"166";"2";"2027";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"换热站东烟温感4";"A";"0B76";"-";"LOG";"01:001:080:000";"0";"255"
